rodada,modelo,accuracy,precision,recall,f1_score,precision 0,precision 1,recall 0,recall 1,f1_score 0,f1_score 1
2,Regressão Logística,0.5670103092783505,0.5748413957176844,0.5670103092783505,0.5707137890376999,0.3125,0.6923076923076923,0.3333333333333333,0.6716417910447762,0.3225806451612903,0.6818181818181818
3,Regressão Logística,0.49586776859504134,0.49921181512090607,0.49586776859504134,0.49751206103264395,0.225,0.6296296296296297,0.23076923076923078,0.6219512195121951,0.22784810126582278,0.6257668711656442
4,Regressão Logística,0.496551724137931,0.5553887762001353,0.496551724137931,0.5186001687196634,0.23333333333333334,0.6823529411764706,0.34146341463414637,0.5576923076923077,0.27722772277227725,0.6137566137566137
5,Regressão Logística,0.5325443786982249,0.5479354609241115,0.5325443786982249,0.5394345414922226,0.29508196721311475,0.6666666666666666,0.3333333333333333,0.6260869565217392,0.3130434782608696,0.6457399103139013
6,Regressão Logística,0.5181347150259067,0.538086768231382,0.5181347150259067,0.5271738431302484,0.23880597014925373,0.6666666666666666,0.27586206896551724,0.6222222222222222,0.256,0.6436781609195402
7,Regressão Logística,0.6359447004608295,0.616950642735872,0.6359447004608295,0.6204138389271628,0.49122807017543857,0.6875,0.358974358974359,0.7913669064748201,0.4148148148148148,0.7357859531772575
8,Regressão Logística,0.5518672199170125,0.5767403827154864,0.5518672199170125,0.5621188467299526,0.31868131868131866,0.6933333333333334,0.38666666666666666,0.6265060240963856,0.3493975903614458,0.6582278481012658
9,Regressão Logística,0.6,0.6056300973428046,0.6,0.602692256430761,0.34523809523809523,0.7182320441988951,0.3625,0.7027027027027027,0.35365853658536583,0.7103825136612022
10,Regressão Logística,0.5294117647058824,0.5703290662059216,0.5294117647058824,0.5462661660408845,0.24299065420560748,0.6978021978021978,0.32098765432098764,0.6105769230769231,0.2765957446808511,0.6512820512820513
11,Regressão Logística,0.549520766773163,0.5668500720604392,0.549520766773163,0.5573775003666829,0.27358490566037735,0.6908212560386473,0.3118279569892473,0.65,0.2914572864321608,0.6697892271662763
12,Regressão Logística,0.629080118694362,0.6469941624255318,0.629080118694362,0.63654727993576,0.3983050847457627,0.7534246575342466,0.46534653465346537,0.6991525423728814,0.4292237442922374,0.7252747252747253
13,Regressão Logística,0.5263157894736842,0.5610672609124622,0.5263157894736842,0.5402797347172154,0.2785714285714286,0.6832579185520362,0.3577981651376147,0.5992063492063492,0.3132530120481928,0.638477801268499
14,Regressão Logística,0.5584415584415584,0.588531516502705,0.5584415584415584,0.5704404291360813,0.3197278911564626,0.7058823529411765,0.4017094017094017,0.6268656716417911,0.3560606060606061,0.6640316205533597
15,Regressão Logística,0.5476772616136919,0.5681091520247056,0.5476772616136919,0.556335042372871,0.3202614379084967,0.68359375,0.3769230769230769,0.6272401433691757,0.3462897526501767,0.6542056074766355
16,Regressão Logística,0.5866050808314087,0.6220607144972042,0.5866050808314087,0.6005111097265816,0.325,0.73992673992674,0.42276422764227645,0.6516129032258065,0.3674911660777385,0.692967409948542
17,Regressão Logística,0.5448577680525164,0.5756506825666058,0.5448577680525164,0.5576255090500941,0.28402366863905326,0.6979166666666666,0.35555555555555557,0.6242236024844721,0.3157894736842105,0.659016393442623
18,Regressão Logística,0.5654885654885655,0.6004177804177804,0.5654885654885655,0.579717532108363,0.2914285714285714,0.7222222222222222,0.375,0.6405797101449275,0.3279742765273312,0.6789554531490015
19,Regressão Logística,0.6039603960396039,0.6417126058830561,0.6039603960396039,0.6187685078901609,0.3259668508287293,0.7592592592592593,0.4306569343065693,0.6684782608695652,0.3710691823899371,0.7109826589595376
20,Regressão Logística,0.5803402646502835,0.5901644039640259,0.5803402646502835,0.5848889278476265,0.3333333333333333,0.7045454545454546,0.3619631901840491,0.6775956284153005,0.34705882352941175,0.6908077994428969
21,Regressão Logística,0.5262206148282098,0.5575063351618113,0.5262206148282098,0.5392311690848122,0.2692307692307692,0.6811594202898551,0.3373493975903614,0.6072351421188631,0.2994652406417112,0.6420765027322405
22,Regressão Logística,0.5632582322357019,0.5699408345344146,0.5632582322357019,0.5663760744798516,0.35609756097560974,0.6774193548387096,0.37823834196891193,0.65625,0.36683417085427134,0.6666666666666666
23,Regressão Logística,0.5357737104825291,0.5631282079898818,0.5357737104825291,0.5461535839011962,0.3387096774193548,0.6742209631728046,0.4221105527638191,0.5920398009950248,0.37583892617449666,0.6304635761589404
24,Regressão Logística,0.52,0.5542736383989287,0.52,0.5323994597185308,0.32209737827715357,0.6675977653631285,0.4195121951219512,0.569047619047619,0.3644067796610169,0.6143958868894601
25,Regressão Logística,0.5408320493066255,0.556050419282745,0.5408320493066255,0.5475366714797479,0.3179916317991632,0.6707317073170732,0.36018957345971564,0.6278538812785388,0.3377777777777778,0.6485849056603774
26,Regressão Logística,0.5364041604754829,0.5490567726306469,0.5364041604754829,0.5420005902357168,0.33201581027667987,0.6595238095238095,0.3700440528634361,0.6210762331838565,0.35,0.6397228637413395
27,Regressão Logística,0.5408895265423243,0.5743608943134001,0.5408895265423243,0.5531488480368896,0.33448275862068966,0.687960687960688,0.4330357142857143,0.5919661733615222,0.377431906614786,0.6363636363636364
28,Regressão Logística,0.5672676837725381,0.5826714597073226,0.5672676837725381,0.5736475869529609,0.37857142857142856,0.6870748299319728,0.4344262295081967,0.6352201257861635,0.40458015267175573,0.6601307189542484
29,Regressão Logística,0.5369127516778524,0.5477095663284038,0.5369127516778524,0.5416564896269025,0.3541666666666667,0.6520787746170679,0.39080459770114945,0.6157024793388429,0.37158469945355194,0.6333687566418703
